,created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text,clean_text,word_count,emojis,emoji_count
1,2021-03-31 00:33:03,rantmission,"Outsider Artist-Little Shell/ Metis
Prison Abolition-Community Deathcare
#SelfDirectedLearning #Abolitionist #DeathDoula",,2555,2016-02-06 06:02:01,0,"[{'text': 'Covid_19', 'indices': [53, 62]}, {'text': 'pandemicblues', 'indices': [63, 77]}]",Year two is feeling even more lonely than the first. #Covid_19 #pandemicblues,year two is feeling even more lonely than the first covid_19 pandemicblues,12,,0
2,2021-03-31 00:29:25,DolphinMg,"I’m a Huge NKOTB fan (Jordan and Donnie )🤖 and BSB fan ( Brian and Howie), Philadelphia Eagles fan 🏈 & a Aunt to a nephew, #ABHswish #ABSBSoldiersWish 🐬🐢♋️"," Asheville, NC ⛰ via D.C 🏛 ",51975,2009-02-21 23:13:14,0,"[{'text': 'COVIDBurnout', 'indices': [129, 142]}]",I keep falling into this hole of depression. It’s been bad during this pandemic. I try to smile but it’s hard to do sometimes. 😢 #COVIDBurnout,i keep falling into this hole of depression its been bad during this pandemic i try to smile but its hard to do sometimes covidburnout,25,😢,1
3,2021-03-30 23:14:59,S_mmillar,"PhD Student (experimental psychology) | uOttawa | Housing, Youth homelessness, & Resilience | she/her",,2435,2013-10-01 20:28:33,0,"[{'text': 'osgoodward', 'indices': [26, 37]}, {'text': 'COVIDfatigue', 'indices': [191, 204]}]","Drove past parks today in #osgoodward, @VeraEtches said schools aren’t the problem,after school hangouts are. Picture isn’t representative of the dozens of youth out, NO😷, NO distance. I get #COVIDfatigue, but we all need to do our part. @JimWatsonOttawa how can we control this. https://t.co/bB7EnCTcqD",drove past parks today in osgoodward veraetches said schools arent the problem after school hangouts are picture isnt representative of the dozens of youth out no no distance i get covidfatigue but we all need to do our part jimwatsonottawa how can we control this,45,😷,1
4,2021-03-30 21:55:45,NorthVanRT,"All #NorthVan, as told by fellow tweeters. See pinned tweet. During Emergencies trust: @NVanRCMP @CityofNorthVan @NVanDistrict @DNVFRS @NVCFD @NorthShoreEMO",,120249,2018-07-31 20:52:31,2,"[{'text': 'northvan', 'indices': [34, 43]}, {'text': 'stayhome', 'indices': [44, 53]}, {'text': 'covidfatigue', 'indices': [54, 67]}, {'text': 'wearyourmask', 'indices': [68, 81]}]","Seems about right. 

#northvan #stayhome #covidfatigue #wearyourmask @ Lower Lonsdale https://t.co/io5B9mwSZt",seems about right northvan stayhome covidfatigue wearyourmask lower lonsdale,9,,0
5,2021-03-30 21:31:31,insaneboredumb,lower case g; excited by🏔⚽️⛷🚴🌅🍩🚶🏽,"London, Ontario",1842,2010-11-30 05:51:24,0,"[{'text': 'pandemicfatigue', 'indices': [28, 44]}]",Fatigue level 11/10 today 😣 #pandemicfatigue,fatigue level 11 10 today pandemicfatigue,6,😣,1
6,2021-03-30 20:36:48,marioapalmer,"Expert Expat helping Canadian small businesses grow digitally. Social media connoisseur, coffee lover, Soca Gives Me Powers! #MariMo 🇯🇲 🇨🇦","Toronto, Ontario",38633,2011-07-19 16:44:29,0,"[{'text': 'Fatigue', 'indices': [30, 38]}, {'text': 'WorkFromHome', 'indices': [39, 52]}, {'text': 'CovidFatigue', 'indices': [53, 66]}]","Yeah, this sums it up nicely.
#Fatigue #WorkFromHome #CovidFatigue https://t.co/nuz5DXcfsw",yeah this sums it up nicely fatigue workfromhome covidfatigue,9,,0
7,2021-03-30 19:35:50,saltyecoevo,PhD Candidate 🇵🇷🏳️‍🌈 @LSU_BioSci. Interested in the #ecology of #sodium and its effect on consumer's performance | Founder of @clubecoevolatin,"Baton Rouge, LA",910,2015-06-29 17:33:30,0,"[{'text': 'covidfatigue', 'indices': [105, 118]}]","Today, the ecology lab went to the Bluebonnet swamp. The student had a lot of fun and an escape from the #covidfatigue https://t.co/USDYVUlLeo",today the ecology lab went to the bluebonnet swamp the student had a lot of fun and an escape from the covidfatigue,22,,0
8,2021-03-30 19:27:09,thrillerkb,Cancer Genetics 🧬 MLT | writer | Author| Interest in health/admin. law | AI | Python | T/RTs not endors./advice | Views my own.,,21247,2015-03-20 23:05:56,1,[],@bradwouters Proper lockdown by @fordnation govt. isn’t happening. Weekly police escorted parade downtown doesn’t help. This is how #covidfatigue happens.,bradwouters proper lockdown by fordnation govt isnt happening weekly police escorted parade downtown doesnt help this is how covidfatigue happens,20,,0
9,2021-03-30 18:42:48,TelehealthBot,Created by Doctor @KrittanawongMD. A bot that collects Tweets about medicine and medical innovation,GJ 357 d,39605,2020-11-19 22:53:08,1,"[{'text': 'BrainInjury', 'indices': [50, 62]}]","By allowing brain injury to fester, #BrainInjury specialists create a new diminished norm in a person; thus they create resistance to improvement, for improvement is change. @PsychToday https://t.co/8z6LCAQ1ci
#MedEd #MedTwitter #concussion #LongCovid #pandemic #COVIDFatigue",by allowing brain injury to fester braininjury specialists create a new diminished norm in a person thus they create resistance to improvement for improvement is change psychtoday meded medtwitter concussion longcovid pandemic covidfatigue,33,,0
10,2021-03-30 17:48:38,StillLeeIsMe,she/her Mom Educator OnCall Dog Door Opener Cleaner Feeder.... #getoutdoors BeKind ChinUp,"Ontario, Canada",740,2020-08-11 16:41:49,1,[],@ColinDMello @radioKristy Oh he’s a beauty!! Wished he’d just tell us what is coming instead of dragging it out! #fedupwithFord #covidfatigue,colindmello radiokristy oh hes a beauty wished hed just tell us what is coming instead of dragging it out fedupwithford covidfatigue,21,,0
