,created_at,username,acctdesc,location,total_tweets_created,account_creation_date,retweetcounts,hashtags,tweet_text,username,tweet_text,emojis,emoji_count,clean_text,word_count
1,2021-03-31 20:46:49,RHJinxI,,Vancouver,48,2010-09-08 23:05:54,1,"[{'text': 'pandemicfatigue', 'indices': [107, 123]}]","My 5 year old told me he can't wait to get the vaccine so he """"can get back out there"""". #pandemicfatigue: when 5 year olds are lining up to get needles.",RHJinxI,"My 5 year old told me he can't wait to get the vaccine so he """"can get back out there"""". #pandemicfatigue: when 5 year olds are lining up to get needles.",,0,my 5 year old told me he can't wait to get the vaccine so he can get back out there pandemicfatigue when 5 year olds are lining up to get needles,31
2,2021-03-31 19:41:11,susieb16,"ICPO ~ Irish Coalition for People living with Obesity 🇮🇪 Chairperson & 
ECPO ~ European Coalition for People living with Obesity Secretary

All views my own🙂","Dublin, Ireland",3310,2011-03-15 17:57:00,0,"[{'text': 'CovidFatigue', 'indices': [258, 271]}]","Today's 2 minute chat with my mother. 
Anything new? No
Anyone on? No
Everything alright?  Eh...Yes. 
That is either me asking her, or her asking me lately.
Today she sent me this, its so true.
Big hugs to anyone struggling, this too shall pass..eventually!
#CovidFatigue https://t.co/3KQ7XUj1pW",susieb16,"Today's 2 minute chat with my mother. Anything new? No Anyone on? No Everything alright? Eh...Yes. That is either me asking her, or her asking me lately. Today she sent me this, its so true. Big hugs to anyone struggling, this too shall pass..eventually! #CovidFatigue",,0,today's 2 minute chat with my mother anything new no anyone on no everything alright eh yes that is either me asking her or her asking me lately today she sent me this its so true big hugs to anyone struggling this too shall pass eventually covidfatigue,47
3,2021-03-31 19:23:46,TheOtherBarbies,HSP. Closet extrovert. Coparent. Spouse. Math teacher. Systems thinker. Overachiever. {my superpowers}={my kryptonite}.,somewhere in PacNW,1325,2011-05-16 15:43:22,0,"[{'text': 'covidfatigue', 'indices': [150, 163]}]","I really want choc chip cookies. I looked at the recipe, saw the step that said """"beat with electric mixer,"""" and decided that was too difficult today. #covidfatigue",TheOtherBarbies,"I really want choc chip cookies. I looked at the recipe, saw the step that said """"beat with electric mixer,"""" and decided that was too difficult today. #covidfatigue",,0,i really want choc chip cookies i looked at the recipe saw the step that said beat with electric mixer and decided that was too difficult today covidfatigue,28
4,2021-03-31 18:32:57,heremagazineCA,"A not-for-profit multimedia platform by & for newcomers & immigrants to Canada. Communications Team tweets on culture, newcomers, diversity, & inclusion.",Lekwungen Territory,2974,2013-07-09 00:54:16,0,"[{'text': 'pandemicfatigue', 'indices': [58, 74]}]","With the new COVID restrictions released by the province, #pandemicfatigue is hitting us hard. To get through the next weeks, we're hosting another blog contest! 

The writing prompt: what's keeping you motivated right now? (1/3) https://t.co/5wtCCI9eYe",heremagazineCA,"With the new COVID restrictions released by the province, #pandemicfatigue is hitting us hard. To get through the next weeks, we're hosting another blog contest! The writing prompt: what's keeping you motivated right now? (1/3)",,0,with the new covid restrictions released by the province pandemicfatigue is hitting us hard to get through the next weeks we're hosting another blog contest the writing prompt what's keeping you motivated right now 1 3,36
5,2021-03-31 18:19:39,brophycat,"Curious learner and educator passionate about innovation, running, and golf. Trying to live my best life by helping others be the best they can be.",NH Seacoast,37035,2008-12-17 18:08:48,0,"[{'text': 'covidfatigue', 'indices': [33, 46]}]",So exhausted. Truly experiencing #covidfatigue . I feel it in my bones. Just bone weary tired if isolation and no social life.,brophycat,So exhausted. Truly experiencing #covidfatigue . I feel it in my bones. Just bone weary tired if isolation and no social life.,,0,so exhausted truly experiencing covidfatigue i feel it in my bones just bone weary tired if isolation and no social life,21
6,2021-03-31 17:38:01,FLCDurango,"An Education to Live By.
•
https://t.co/xiJUV9fwww","Durango, Colorado",12344,2011-06-06 16:04:50,0,"[{'text': 'pandemicblues', 'indices': [205, 219]}, {'text': 'supportgroup', 'indices': [220, 233]}, {'text': 'studentsleaningoneachother', 'indices': [234, 261]}]","Do you have the pandemic blues? The Counseling Center support groups are here for you! 

Join this week's free workshop at 4pm today and see other available workshops by visiting, https://t.co/Hk81Ndru8X. #pandemicblues #supportgroup #studentsleaningoneachother",FLCDurango,"Do you have the pandemic blues? The Counseling Center support groups are here for you! Join this week's free workshop at 4pm today and see other available workshops by visiting, . #pandemicblues #supportgroup #studentsleaningoneachother",,0,do you have the pandemic blues the counseling center support groups are here for you join this week's free workshop at 4pm today and see other available workshops by visiting pandemicblues supportgroup studentsleaningoneachother,33
7,2021-03-31 16:45:09,BMLeadership,Leadership Mentor | Performance Coach | Keynote Speaker | Best Selling Author. https://t.co/bupO7c5QUt #LeadOn,"Hertfordshire, UK",10751,2011-06-15 10:43:23,0,"[{'text': 'COVID19', 'indices': [18, 26]}, {'text': 'covidfatigue', 'indices': [185, 198]}, {'text': 'lockdownlethargy', 'indices': [199, 216]}, {'text': 'Leadership', 'indices': [217, 228]}]","We're a year into #COVID19 and many of us have depleted energy and motivation levels. Hopefully some of the tips and ideas I share in my latest blog series will help make a difference. #covidfatigue #lockdownlethargy #Leadership
https://t.co/PmclfCnHuf https://t.co/FizXKxYL9L",BMLeadership,We're a year into #COVID19 and many of us have depleted energy and motivation levels. Hopefully some of the tips and ideas I share in my latest blog series will help make a difference. #covidfatigue #lockdownlethargy #Leadership,,0,we're a year into covid19 and many of us have depleted energy and motivation levels hopefully some of the tips and ideas i share in my latest blog series will help make a difference covidfatigue lockdownlethargy leadership,37
8,2021-03-31 16:22:24,profamymcgovern,"Computer Science/Meteorology Professor, Fellow of American Meteorological Society, #MachineLearning, Boy Scout leader, Proud mom, she/her, #wxtwitter",,5992,2017-01-25 22:15:35,0,"[{'text': 'facepalm', 'indices': [101, 110]}, {'text': 'pandemicfatigue', 'indices': [111, 127]}]",TFW you submit the paper finally and then realize you submitted the one with internal comments in it #facepalm #pandemicfatigue,profamymcgovern,TFW you submit the paper finally and then realize you submitted the one with internal comments in it #facepalm #pandemicfatigue,,0,tfw you submit the paper finally and then realize you submitted the one with internal comments in it facepalm pandemicfatigue,20
9,2021-03-31 16:10:08,ShireenJ,Writer. eBooks: https://t.co/S9py8RJB6h Brain Injury & brainwaves: https://t.co/JDc0Tqviv2 Art Fit To Wear: https://t.co/mHvTGBhGHm Psychology Today,Toronto,88701,2008-07-11 22:55:04,0,"[{'text': 'Easter', 'indices': [87, 94]}, {'text': 'Passover', 'indices': [99, 108]}, {'text': 'pandemic', 'indices': [179, 188]}, {'text': 'holidays', 'indices': [189, 198]}, {'text': 'lockdown', 'indices': [199, 208]}, {'text': 'COVIDFatigue', 'indices': [209, 222]}, {'text': 'COVID19', 'indices': [223, 231]}]","We cannot expect holidays to remain rigidly the same in pandemic years. Revisiting for #Easter and #Passover an opportunity from Christmas. On @PsychToday https://t.co/X4sAe2G3Nh
#pandemic #holidays #lockdown #COVIDFatigue #COVID19",ShireenJ,We cannot expect holidays to remain rigidly the same in pandemic years. Revisiting for #Easter and #Passover an opportunity from Christmas. On @PsychToday #pandemic #holidays #lockdown #COVIDFatigue #COVID19,,0,we cannot expect holidays to remain rigidly the same in pandemic years revisiting for easter and passover an opportunity from christmas on psychtoday pandemic holidays lockdown covidfatigue covid19,28
10,2021-03-31 15:57:12,nicanorvida,"If you woke up this morning without a goal, go back to sleep.","Canada, United States, Ecuador",245,2021-01-13 20:31:21,2,[],Update...... more tickets - the sign only saved me from 1 day of tickets. And.....it’s all from the same parking person 😳😥 ugh. #childlife #frontlineworkers #healthcare #parkinghell #pandemicfatigue #Toronto #torontoparkingauthority #evil https://t.co/yo9uziT2sh,nicanorvida,Update...... more tickets - the sign only saved me from 1 day of tickets. And.....its all from the same parking person ugh. #childlife #frontlineworkers #healthcare #parkinghell #pandemicfatigue #Toronto #torontoparkingauthority #evil,😳😥,2,update more tickets the sign only saved me from 1 day of tickets and its all from the same parking person ugh childlife frontlineworkers healthcare parkinghell pandemicfatigue toronto torontoparkingauthority evil,30
